contract_id,invoice_date,worker_id,worker_nationality,worker_profession,client_company,client_sector,region,contract_type,contract_duration_months,purchase_order_amount_sar,worker_salary_sar,operational_cost_sar,net_profit_sar,profit_margin_pct
MP-2024-39057,15/09/2025,W-011891,Egyptian,Industrial Painter,Sadara Chemical,Petrochemical,Eastern Province,Multi-Year,36,230004,107928,27144,94932,41.27
MP-2024-49575,21/03/2025,W-011892,Pakistani,Rigger,Saudi Electricity Co.,Power,Riyadh,Short-Term,3,19317,10140,2538,6639,34.37
MP-2024-31435,11/2/2025,W-011895,Bangladeshi,Welder,Royal Commission Yanbu,Industrial,Madinah,Short-Term,1,5989,3249,1255,1485,24.8
MP-2024-85324,3/6/2025,W-011897,Nepali,Welder,Red Sea Global,Tourism Dev,Tabuk,Annual,12,59976,34512,11628,13836,23.07
MP-2024-89119,6/4/2025,W-011900,Pakistani,Mechanical Technician,Sadara Chemical,Petrochemical,Eastern Province,Annual,12,88692,42360,16632,29700,33.49
MP-2025-98436,22/03/2024,W-011901,Indian,Project Engineer,Diriyah Company,Real Estate,Riyadh,Short-Term,6,127530,77262,7434,1822,1.43
MP-2024-74175,16/04/2025,W-011903,Indian,Safety Officer,Sadara Chemical,Petrochemical,Eastern Province,Annual,12,127524,67464,10020,50040,39.24
MP-2025-56777,3/3/2025,W-011904,Bangladeshi,Electrician,Saudi Aramco,Oil & Gas,Eastern Province,Short-Term,1,7445,3609,781,3055,41.03
MP-2024-28958,10/10/2025,W-011906,Bangladeshi,Scaffolder,Bechtel KSA,EPC Contractor,Tabuk,Annual,12,59136,28104,15312,15720,26.58
MP-2025-15326,19/03/2024,W-011908,Pakistani,Pipe Fitter,Bechtel KSA,EPC Contractor,Tabuk,Annual,12,87480,47856,16620,23004,26.3
MP-2025-65381,14/02/2025,W-011909,Indian,Helper / Labourer,Diriyah Company,Real Estate,Riyadh,Annual,12,36252,16176,16488,3588,9.9
MP-2025-49741,22/09/2025,W-011912,Filipino,Helper / Labourer,Red Sea Global,Tourism Dev,Tabuk,Short-Term,6,22020,9504,5868,6648,30.19
MP-2024-46287,28/05/2025,W-011915,Indian,Industrial Painter,SABIC,Petrochemical,Eastern Province,Short-Term,1,4177,2389,961,827,19.8
MP-2025-70613,5/9/2025,W-011918,Pakistani,Scaffolder,Saudi Aramco,Oil & Gas,Eastern Province,Short-Term,1,6573,2856,1107,2610,39.71
MP-2025-93200,1/9/2025,W-011920,Filipino,Mechanical Technician,NEOM,Mega Project,Tabuk,Short-Term,3,22005,10479,2988,8538,38.8
MP-2024-79761,15/12/2025,W-011921,Nepali,Scaffolder,Saudi Aramco,Oil & Gas,Eastern Province,Multi-Year,18,113850,51912,16362,45576,40.03
MP-2025-49850,25/10/2024,W-011923,Bangladeshi,Mechanical Technician,Saudi Aramco,Oil & Gas,Eastern Province,Annual,12,103440,48588,11544,43308,41.87
MP-2025-82933,17/05/2025,W-011924,Pakistani,Heavy Equipment Operator,Saudi Electricity Co.,Power,Riyadh,Multi-Year,18,92682,53550,25092,14040,15.15
MP-2024-30855,14/02/2025,W-011927,Bangladeshi,Helper / Labourer,Saudi Electricity Co.,Power,Riyadh,Annual,12,35112,17904,8748,8460,24.09
MP-2025-75838,2/7/2025,W-011930,Bangladeshi,Helper / Labourer,Ma'aden,Mining,Northern Borders,Annual,12,44688,21552,16116,7020,15.71
MP-2025-10437,29/06/2025,W-011932,Egyptian,Rigger,Red Sea Global,Tourism Dev,Tabuk,Short-Term,6,46050,20070,5748,20232,43.93
MP-2024-28162,16/09/2025,W-011935,Bangladeshi,Welder,NEOM,Mega Project,Tabuk,Annual,12,60732,26844,9300,24588,40.49
MP-2024-58535,24/01/2024,W-011938,Filipino,Helper / Labourer,Saudi Electricity Co.,Power,Riyadh,Annual,12,39216,16992,11916,10308,26.29
MP-2024-32965,28/04/2025,W-011941,Sri Lankan,Electrician,SABIC,Petrochemical,Eastern Province,Multi-Year,24,176856,88728,27912,60216,34.05
MP-2024-33183,17/04/2025,W-011944,Nepali,Helper / Labourer,Saudi Kayan,Petrochemical,Eastern Province,Multi-Year,24,78144,34728,16848,26568,34
MP-2025-78126,26/04/2025,W-011946,Indian,Industrial Painter,SABIC,Petrochemical,Eastern Province,Annual,12,55404,24540,13620,17244,31.12
MP-2024-67477,7/5/2025,W-011949,Indian,Helper / Labourer,Royal Commission Yanbu,Industrial,Madinah,Annual,12,31224,15888,16152,-816,-2.61
MP-2025-66175,7/5/2024,W-011950,Indian,Scaffolder,Royal Commission Yanbu,Industrial,Madinah,Annual,12,44208,25872,11520,6816,15.42
MP-2024-73254,3/8/2024,W-011952,Indian,Rigger,Saudi Aramco,Oil & Gas,Eastern Province,Multi-Year,36,292680,126144,32652,133884,45.74
MP-2025-69031,17/12/2025,W-011954,Filipino,Safety Officer,Royal Commission Jubail,Industrial,Eastern Province,Short-Term,3,21636,11610,4023,6003,27.75
MP-2025-30749,4/8/2025,W-011957,Pakistani,HVAC Technician,Red Sea Global,Tourism Dev,Tabuk,Short-Term,2,10596,5728,1876,2992,28.24
MP-2024-37742,20/08/2025,W-011959,Indian,Welder,Sadara Chemical,Petrochemical,Eastern Province,Annual,12,86964,43104,12096,31764,36.53
MP-2025-94390,8/6/2024,W-011962,Yemeni,Electrician,Saudi Electricity Co.,Power,Riyadh,Multi-Year,36,287568,137952,36432,113184,39.36
MP-2025-11865,15/11/2025,W-011963,Pakistani,Electrician,SABIC,Petrochemical,Eastern Province,Short-Term,1,7423,3835,994,2594,34.95
MP-2024-78697,21/08/2024,W-011966,Indian,Rigger,Saudi Electricity Co.,Power,Riyadh,Short-Term,3,16659,9336,4113,3210,19.27
MP-2024-17336,2/4/2025,W-011969,Filipino,Scaffolder,Royal Commission Yanbu,Industrial,Madinah,Short-Term,2,9384,4640,1566,3178,33.87
MP-2025-82348,11/10/2024,W-011970,Egyptian,Helper / Labourer,Marafiq,Utilities,Eastern Province,Multi-Year,24,67944,38736,19704,9504,13.99
MP-2025-70852,10/4/2024,W-011973,Yemeni,Welder,Royal Commission Jubail,Industrial,Eastern Province,Short-Term,3,12108,7158,2394,2556,21.11
MP-2024-88419,13/05/2025,W-011975,Filipino,Civil Foreman,Saudi Kayan,Petrochemical,Eastern Province,Short-Term,3,26946,16329,3762,6855,25.44
MP-2025-10064,14/09/2024,W-011977,Filipino,Instrument Technician,SABIC,Petrochemical,Eastern Province,Annual,12,113580,52596,10500,50484,44.45
MP-2024-54714,8/10/2024,W-011980,Filipino,Electrician,Saudi Electricity Co.,Power,Riyadh,Multi-Year,24,151896,84624,33144,34128,22.47
MP-2024-33435,8/3/2024,W-011982,Nepali,Welder,Saudi Kayan,Petrochemical,Eastern Province,Short-Term,6,37740,21096,4392,12252,32.46
MP-2025-75769,8/11/2024,W-011984,Egyptian,Mechanical Technician,Red Sea Global,Tourism Dev,Tabuk,Multi-Year,24,168552,94608,18408,55536,32.95
MP-2024-30701,16/09/2025,W-011987,Indian,Site Supervisor,Worley KSA,EPC Contractor,Eastern Province,Annual,12,149052,82392,12780,53880,36.15
MP-2025-49795,14/01/2025,W-011988,Pakistani,Helper / Labourer,Royal Commission Yanbu,Industrial,Madinah,Short-Term,3,9150,4665,2889,1596,17.44
MP-2025-17249,22/02/2025,W-011990,Nepali,Pipe Fitter,Saudi Electricity Co.,Power,Riyadh,Short-Term,2,11120,5550,1742,3828,34.42
MP-2025-66033,26/01/2025,W-011992,Filipino,Helper / Labourer,Royal Commission Yanbu,Industrial,Madinah,Annual,12,35412,18768,8472,8172,23.08
MP-2025-87717,26/04/2025,W-011993,Sudanese,Industrial Painter,NWC,Water,Riyadh,Annual,12,56556,26400,13080,418,0.74
MP-2025-46181,4/7/2025,W-011995,Bangladeshi,Scaffolder,Ma'aden,Mining,Northern Borders,Multi-Year,18,94284,44172,17280,32832,34.82
MP-2024-87307,2/11/2024,W-011998,Indian,Welder,SABIC,Petrochemical,Eastern Province,Annual,12,77832,41040,12576,24216,31.11
MP-2024-28411,10/3/2024,W-012001,Egyptian,Electrician,Saudi Kayan,Petrochemical,Eastern Province,Multi-Year,36,259056,144720,32076,82260,31.75
MP-2025-53648,22/07/2024,W-012004,Saudi,Scaffolder,ROSHN,Real Estate,Riyadh,Multi-Year,24,143832,81360,8520,3360,2.34
MP-2025-12123,2/8/2025,W-012006,Ethiopian,Site Supervisor,Petro Rabigh,Petrochemical,Makkah,Short-Term,6,63942,35856,8442,19644,30.72
MP-2024-83176,25/04/2024,W-012009,Indian,Instrument Technician,Saudi Kayan,Petrochemical,Eastern Province,Annual,12,99360,51324,9516,38520,38.77
MP-2025-46289,21/04/2025,W-012011,Yemeni,Document Controller,Saudi Aramco,Oil & Gas,Eastern Province,Short-Term,2,17758,9592,2092,6074,34.2
MP-2025-12815,15/02/2025,W-012014,Pakistani,QC Inspector,Saudi Electricity Co.,Power,Riyadh,Short-Term,3,27225,16830,3063,7332,26.93
MP-2025-79778,13/04/2025,W-012017,Nepali,Helper / Labourer,NEOM,Mega Project,Tabuk,Annual,12,57132,21936,9168,26028,45.56
MP-2024-50433,4/7/2024,W-012018,Indian,Safety Officer,Saudi Kayan,Petrochemical,Eastern Province,Annual,12,121572,63096,13428,45048,37.05
MP-2024-96267,1/8/2024,W-012019,Pakistani,Industrial Painter,SABIC,Petrochemical,Eastern Province,Multi-Year,24,119040,67848,31392,19800,16.63
MP-2024-59166,27/01/2024,W-012021,Yemeni,Helper / Labourer,SABIC,Petrochemical,Eastern Province,Short-Term,3,9177,4620,2805,1752,19.09
MP-2024-32950,2/6/2025,W-012024,Egyptian,Welder,Royal Commission Jubail,Industrial,Eastern Province,Short-Term,3,18807,10155,4191,4461,23.72
MP-2024-21900,3/6/2025,W-012026,Bangladeshi,Instrument Technician,NWC,Water,Riyadh,Short-Term,3,25443,15144,3879,6420,25.23
MP-2025-18559,20/03/2025,W-012029,Pakistani,Document Controller,Saudi Aramco,Oil & Gas,Eastern Province,Annual,12,97848,51348,16356,30144,30.81
MP-2025-15946,24/05/2024,W-012030,Indian,Welder,Ma'aden,Mining,Northern Borders,Short-Term,3,17547,10260,3756,3531,20.12
MP-2025-58719,24/09/2025,W-012032,Sudanese,Industrial Painter,Saudi Aramco,Oil & Gas,Eastern Province,Annual,12,60012,24984,13824,21204,35.33
MP-2024-31282,31/01/2024,W-012034,Indian,Industrial Painter,Saudi Electricity Co.,Power,Riyadh,Multi-Year,24,76296,46416,16104,13776,18.06
MP-2024-63432,17/02/2024,W-012037,Pakistani,Safety Officer,Ma'aden,Mining,Northern Borders,Short-Term,1,7824,4741,1206,183,2.34
MP-2025-64404,3/7/2025,W-012039,Indian,Safety Officer,ROSHN,Real Estate,Riyadh,Short-Term,3,28776,18687,3345,6744,23.44
MP-2024-72624,19/05/2025,W-012042,Sudanese,Civil Foreman,Saudi Aramco,Oil & Gas,Eastern Province,Annual,12,117672,66168,13728,37776,32.1
MP-2025-47001,21/09/2025,W-012043,Pakistani,Scaffolder,Diriyah Company,Real Estate,Riyadh,Short-Term,3,16494,8808,3249,4437,26.9
MP-2024-52984,8/3/2025,W-012045,Nepali,Civil Foreman,NWC,Water,Riyadh,Short-Term,3,26940,15240,4155,-1335,-4.96
MP-2024-31218,10/2/2025,W-012047,Indian,Mechanical Technician,Saudi Kayan,Petrochemical,Eastern Province,Short-Term,6,46722,21666,5940,19116,40.91
MP-2025-25442,13/10/2024,W-012050,Egyptian,Warehouse Keeper,Sadara Chemical,Petrochemical,Eastern Province,Multi-Year,24,147528,69048,29496,48984,33.2
MP-2024-97557,16/12/2024,W-012053,Pakistani,Helper / Labourer,Saudi Electricity Co.,Power,Riyadh,Short-Term,6,15486,8256,5958,1272,8.21
MP-2025-26554,21/12/2024,W-012055,Bangladeshi,Heavy Equipment Operator,NWC,Water,Riyadh,Multi-Year,24,166536,84384,33576,48576,29.17
MP-2024-12191,22/07/2024,W-012058,Egyptian,Heavy Equipment Operator,Royal Commission Jubail,Industrial,Eastern Province,Annual,12,75048,45060,12600,17388,23.17
MP-2024-59082,11/6/2024,W-012059,Nepali,Rigger,Saudi Kayan,Petrochemical,Eastern Province,Short-Term,2,14188,6330,1936,5922,41.74
MP-2024-62543,30/10/2024,W-012061,Sri Lankan,Site Supervisor,Petro Rabigh,Petrochemical,Makkah,Annual,12,113112,58896,9756,44460,39.31
MP-2025-37361,19/09/2025,W-012064,Indonesian,Welder,Saudi Electricity Co.,Power,Riyadh,Short-Term,2,14332,6846,2726,4760,33.21
MP-2024-94683,5/3/2025,W-012066,Filipino,Scaffolder,Sadara Chemical,Petrochemical,Eastern Province,Short-Term,3,12837,6591,3582,2664,20.75
MP-2025-28665,19/11/2025,W-012068,Egyptian,Welder,Saudi Aramco,Oil & Gas,Eastern Province,Short-Term,1,7617,3435,824,3358,44.09
MP-2024-80943,16/09/2025,W-012070,Indian,Driver (Heavy),Royal Commission Jubail,Industrial,Eastern Province,Annual,12,90276,41100,8172,41004,45.42
MP-2025-24789,3/10/2025,W-012072,Bangladeshi,Pipe Fitter,Diriyah Company,Real Estate,Riyadh,Multi-Year,36,229824,135540,26172,68112,29.64
MP-2025-41626,11/11/2025,W-012074,Sudanese,Site Supervisor,Saudi Electricity Co.,Power,Riyadh,Annual,12,138408,85152,17892,35364,25.55
MP-2025-93920,4/6/2025,W-012076,Bangladeshi,Helper / Labourer,Worley KSA,EPC Contractor,Eastern Province,Short-Term,1,3522,1728,1089,705,20.02
MP-2025-97245,29/09/2024,W-012077,Ethiopian,Helper / Labourer,Ma'aden,Mining,Northern Borders,Annual,12,42780,19668,15636,7476,17.48
MP-2024-88861,20/04/2024,W-012080,Sudanese,Rigger,Saudi Aramco,Oil & Gas,Eastern Province,Short-Term,2,13036,5754,2656,4626,35.49
MP-2025-15225,21/12/2024,W-012083,Sudanese,Helper / Labourer,NEOM,Mega Project,Tabuk,Annual,12,57384,22368,13452,21564,37.58
MP-2024-38316,3/8/2025,W-012084,Indian,Civil Engineer,Saudi Aramco,Oil & Gas,Eastern Province,Multi-Year,18,383760,191610,18900,173250,45.15
MP-2025-56186,11/9/2024,W-012086,Bangladeshi,Welder,Saudi Electricity Co.,Power,Riyadh,Multi-Year,24,141600,82320,25656,33624,23.75
MP-2025-62601,22/12/2024,W-012087,Yemeni,Helper / Labourer,Sadara Chemical,Petrochemical,Eastern Province,Annual,12,49536,20928,9852,18756,37.86
MP-2024-21853,16/10/2025,W-012089,Pakistani,Instrument Technician,SABIC,Petrochemical,Eastern Province,Annual,12,93084,45708,10956,36420,39.13
MP-2025-30868,21/06/2024,W-012091,Indian,Pipe Fitter,Sadara Chemical,Petrochemical,Eastern Province,Annual,12,79704,42672,12840,24192,30.35
MP-2024-36033,5/4/2024,W-012092,Egyptian,Warehouse Keeper,Red Sea Global,Tourism Dev,Tabuk,Multi-Year,24,160752,81648,22752,56352,35.06
MP-2024-48523,20/09/2025,W-012095,Saudi,Electrician,SABIC,Petrochemical,Eastern Province,Multi-Year,24,275232,145680,8568,120984,43.96
MP-2024-42158,19/08/2024,W-012097,Nepali,Scaffolder,Saudi Aramco,Oil & Gas,Eastern Province,Short-Term,1,6859,3201,979,2679,39.06
MP-2024-64044,9/7/2024,W-012100,Filipino,QC Inspector,Petro Rabigh,Petrochemical,Makkah,Multi-Year,24,303696,156768,37584,109344,36
MP-2025-57777,28/08/2024,W-012102,Filipino,Welder,Red Sea Global,Tourism Dev,Tabuk,Short-Term,2,14276,6946,1444,5886,41.23
MP-2025-80170,17/11/2024,W-012103,Sudanese,Safety Officer,Diriyah Company,Real Estate,Riyadh,Annual,12,111492,66492,20832,24168,21.68
MP-2024-70324,25/09/2025,W-012105,Bangladeshi,Mechanical Technician,NWC,Water,Riyadh,Short-Term,6,40872,22182,7932,10758,26.32
MP-2024-18359,29/11/2025,W-012107,Indian,HVAC Technician,NEOM,Mega Project,Tabuk,Multi-Year,18,148608,69930,21204,57474,38.67
MP-2025-38207,8/11/2025,W-012109,Pakistani,HVAC Technician,Sadara Chemical,Petrochemical,Eastern Province,Short-Term,6,45864,25818,6330,13716,29.91
MP-2025-10888,16/09/2025,W-012110,Egyptian,Electrician,Saudi Aramco,Oil & Gas,Eastern Province,Multi-Year,18,146736,64926,21582,60228,41.05
MP-2024-33755,31/01/2024,W-012113,Sri Lankan,Helper / Labourer,Sadara Chemical,Petrochemical,Eastern Province,Short-Term,3,12042,4932,2823,4287,35.6
MP-2025-28154,17/12/2024,W-012114,Indian,Electrician,Diriyah Company,Real Estate,Riyadh,Multi-Year,36,171036,99792,28800,42444,24.82
MP-2024-54527,7/4/2025,W-012115,Filipino,Welder,ROSHN,Real Estate,Riyadh,Multi-Year,18,94950,59256,11718,23976,25.25
MP-2024-10610,30/11/2024,W-012117,Pakistani,Helper / Labourer,NEOM,Mega Project,Tabuk,Annual,12,33888,16104,13524,4260,12.57
MP-2024-55252,9/4/2024,W-012120,Sri Lankan,Safety Officer,NEOM,Mega Project,Tabuk,Multi-Year,24,258336,124080,29520,104736,40.54
MP-2024-50850,25/10/2024,W-012121,Pakistani,Pipe Fitter,Ma'aden,Mining,Northern Borders,Multi-Year,36,173916,98928,39960,35028,20.14
MP-2025-96309,15/07/2025,W-012123,Sudanese,Civil Engineer,Red Sea Global,Tourism Dev,Tabuk,Short-Term,2,28818,17656,3158,8004,27.77
MP-2025-15451,1/1/2025,W-012124,Sri Lankan,Warehouse Keeper,Royal Commission Yanbu,Industrial,Madinah,Multi-Year,18,106830,64566,20538,21726,20.34
MP-2025-81615,20/10/2025,W-012125,Pakistani,Pipe Fitter,Royal Commission Jubail,Industrial,Eastern Province,Short-Term,3,17292,9384,3054,4854,28.07
MP-2025-83564,10/5/2025,W-012128,Bangladeshi,Instrument Technician,Royal Commission Jubail,Industrial,Eastern Province,Short-Term,1,7104,4413,1360,1331,18.74
MP-2024-94008,17/11/2024,W-012131,Indian,Welder,Bechtel KSA,EPC Contractor,Tabuk,Annual,12,64260,33156,15216,15888,24.72
MP-2025-76633,20/06/2025,W-012132,Bangladeshi,Rigger,Saudi Aramco,Oil & Gas,Eastern Province,Short-Term,3,27597,11460,3552,12585,45.6
MP-2024-74916,30/07/2024,W-012135,Nepali,Welder,Marafiq,Utilities,Eastern Province,Short-Term,1,5941,3679,830,1432,24.1
MP-2025-33207,3/2/2025,W-012136,Pakistani,Helper / Labourer,Saudi Aramco,Oil & Gas,Eastern Province,Short-Term,2,7126,3346,2684,1096,15.38
MP-2025-36853,31/10/2025,W-012139,Sri Lankan,Industrial Painter,Saudi Aramco,Oil & Gas,Eastern Province,Multi-Year,36,198396,80424,45468,72504,36.55
MP-2024-92121,10/12/2025,W-012141,Indian,Helper / Labourer,Saudi Aramco,Oil & Gas,Eastern Province,Annual,12,32664,16104,9228,7332,22.45
MP-2024-34033,3/7/2025,W-012143,Indian,Helper / Labourer,NWC,Water,Riyadh,Annual,12,37512,20604,10380,6528,17.4
MP-2025-24220,2/5/2024,W-012145,Sudanese,Driver (Heavy),NWC,Water,Riyadh,Annual,12,56316,34764,16764,4788,8.5
MP-2024-24602,22/08/2024,W-012146,Sudanese,Pipe Fitter,Royal Commission Jubail,Industrial,Eastern Province,Multi-Year,24,140616,76440,28896,35280,25.09
MP-2024-96884,30/05/2025,W-012147,Egyptian,Helper / Labourer,Saudi Aramco,Oil & Gas,Eastern Province,Short-Term,2,7886,3010,2682,2194,27.82
MP-2024-94428,27/02/2024,W-012149,Bangladeshi,Civil Engineer,Ma'aden,Mining,Northern Borders,Short-Term,2,30978,17358,1672,11948,38.57
MP-2024-88860,25/06/2025,W-012151,Filipino,Pipe Fitter,Bechtel KSA,EPC Contractor,Tabuk,Short-Term,1,5987,3138,1114,1735,28.98
MP-2025-58545,9/2/2024,W-012152,Sri Lankan,Rigger,Saudi Aramco,Oil & Gas,Eastern Province,Short-Term,1,8385,3602,740,4043,48.22
MP-2024-83877,12/7/2025,W-012153,Indian,Helper / Labourer,Ma'aden,Mining,Northern Borders,Annual,12,40932,18384,11280,11268,27.53
MP-2024-99506,17/05/2025,W-012156,Pakistani,Site Supervisor,ROSHN,Real Estate,Riyadh,Annual,12,138936,86352,19644,32940,23.71
MP-2025-93505,27/06/2024,W-012158,Ethiopian,Driver (Heavy),Sadara Chemical,Petrochemical,Eastern Province,Short-Term,3,14292,7206,3549,3537,24.75
MP-2024-62721,8/5/2024,W-012161,Pakistani,Civil Engineer,Saudi Electricity Co.,Power,Riyadh,Annual,12,209052,128004,14124,66924,32.01
MP-2025-97211,12/2/2025,W-012162,Egyptian,Scaffolder,SABIC,Petrochemical,Eastern Province,Short-Term,2,14540,6654,2476,5410,37.21
MP-2025-81854,22/02/2025,W-012164,Nepali,Scaffolder,Saudi Aramco,Oil & Gas,Eastern Province,Short-Term,3,17202,7260,3693,6249,36.33
MP-2024-36137,10/8/2024,W-012166,Filipino,Pipe Fitter,Saudi Electricity Co.,Power,Riyadh,Annual,12,60828,32700,14040,14088,23.16
MP-2024-45824,27/11/2025,W-012169,Egyptian,Rigger,NEOM,Mega Project,Tabuk,Multi-Year,24,154008,70992,31224,51792,33.63
MP-2025-51446,17/09/2025,W-012172,Filipino,QC Inspector,Saudi Aramco,Oil & Gas,Eastern Province,Short-Term,1,7686,4483,1621,140,1.82
MP-2025-56752,26/07/2024,W-012175,Indian,Scaffolder,Saudi Kayan,Petrochemical,Eastern Province,Annual,12,79356,39276,15252,24828,31.29
MP-2024-47976,6/11/2024,W-012176,Sudanese,Pipe Fitter,Petro Rabigh,Petrochemical,Makkah,Short-Term,1,6742,3358,769,2615,38.79
MP-2025-46861,7/12/2025,W-012177,Saudi,Rigger,Saudi Aramco,Oil & Gas,Eastern Province,Annual,12,127140,61236,3924,61980,48.75
MP-2024-86831,5/12/2025,W-012179,Indonesian,Civil Foreman,SABIC,Petrochemical,Eastern Province,Multi-Year,36,396648,211212,47304,138132,34.82
MP-2025-19029,30/06/2024,W-012180,Nepali,Rigger,Marafiq,Utilities,Eastern Province,Short-Term,2,13786,7678,2368,3740,27.13
MP-2024-56492,9/9/2025,W-012182,Indian,Driver (Heavy),Saudi Electricity Co.,Power,Riyadh,Short-Term,3,13254,7407,3120,2727,20.57
MP-2025-51755,19/06/2024,W-012183,Nepali,HVAC Technician,SABIC,Petrochemical,Eastern Province,Multi-Year,24,135624,64152,29280,42192,31.11
MP-2024-53636,18/07/2025,W-012184,Indian,Site Supervisor,ROSHN,Real Estate,Riyadh,Annual,12,86592,54696,19932,11964,13.82
MP-2024-98067,3/10/2024,W-012187,Pakistani,Industrial Painter,Ma'aden,Mining,Northern Borders,Multi-Year,36,163044,86004,48852,28188,17.29
MP-2024-74071,15/10/2024,W-012189,Indian,Mechanical Technician,Red Sea Global,Tourism Dev,Tabuk,Multi-Year,24,233208,108552,16008,108648,46.59
MP-2024-41845,17/03/2024,W-012190,Pakistani,Pipe Fitter,Royal Commission Yanbu,Industrial,Madinah,Annual,12,76740,47460,7920,21360,27.83
MP-2024-30479,19/08/2025,W-012193,Saudi,Site Supervisor,ROSHN,Real Estate,Riyadh,Short-Term,1,13511,9016,586,3909,28.93
MP-2024-22019,3/4/2024,W-012194,Bangladeshi,Rigger,SABIC,Petrochemical,Eastern Province,Annual,12,74304,35028,9528,29748,40.04
MP-2025-89358,24/12/2025,W-012195,Bangladeshi,Helper / Labourer,NEOM,Mega Project,Tabuk,Multi-Year,36,100800,50796,28152,21852,21.68
MP-2024-81040,12/8/2025,W-012196,Nepali,HVAC Technician,Saudi Aramco,Oil & Gas,Eastern Province,Short-Term,3,23172,11883,2838,8451,36.47
MP-2025-88846,26/02/2025,W-012199,Nepali,Scaffolder,SABIC,Petrochemical,Eastern Province,Short-Term,2,11736,5486,2752,3498,29.81
MP-2024-18474,4/3/2024,W-012200,Bangladeshi,Driver (Heavy),Saudi Aramco,Oil & Gas,Eastern Province,Annual,12,76212,33624,15888,26700,35.03
MP-2024-51733,25/08/2025,W-012202,Nepali,Safety Officer,NWC,Water,Riyadh,Annual,12,108000,69156,13776,25068,23.21
MP-2025-75496,3/11/2024,W-012204,Pakistani,Document Controller,SABIC,Petrochemical,Eastern Province,Annual,12,75816,43020,11988,20808,27.45
MP-2025-70768,20/04/2025,W-012206,Indian,Helper / Labourer,Saudi Electricity Co.,Power,Riyadh,Multi-Year,24,83952,42552,31272,10128,12.06
MP-2025-11828,20/03/2025,W-012209,Sri Lankan,Pipe Fitter,NWC,Water,Riyadh,Short-Term,1,5044,3104,903,-133,-2.64
MP-2025-82001,11/10/2024,W-012210,Indian,Safety Officer,Ma'aden,Mining,Northern Borders,Annual,12,128100,73188,17244,37668,29.41
MP-2024-18769,27/11/2024,W-012213,Bangladeshi,Scaffolder,SABIC,Petrochemical,Eastern Province,Multi-Year,24,108120,61992,21144,24984,23.11
MP-2025-99660,25/09/2025,W-012215,Filipino,Safety Officer,NEOM,Mega Project,Tabuk,Short-Term,3,37719,17937,3477,16305,43.23
MP-2024-12321,2/4/2025,W-012217,Bangladeshi,Scaffolder,Sadara Chemical,Petrochemical,Eastern Province,Short-Term,3,19494,8661,3021,7812,40.07
MP-2025-85657,5/12/2024,W-012220,Indian,Pipe Fitter,Sadara Chemical,Petrochemical,Eastern Province,Annual,12,91140,49776,13140,28224,30.97
MP-2024-74040,30/07/2025,W-012222,Sri Lankan,Electrician,Petro Rabigh,Petrochemical,Makkah,Annual,12,63900,34584,12564,16752,26.22
MP-2025-18772,5/4/2025,W-012224,Egyptian,Helper / Labourer,SABIC,Petrochemical,Eastern Province,Short-Term,1,3165,1584,652,929,29.35
MP-2025-83646,29/05/2024,W-012226,Indonesian,Mechanical Technician,Sadara Chemical,Petrochemical,Eastern Province,Multi-Year,24,216144,106752,32832,76560,35.42
MP-2024-48747,3/3/2024,W-012229,Yemeni,Heavy Equipment Operator,Ma'aden,Mining,Northern Borders,Short-Term,3,22134,10683,1974,9477,42.82
MP-2024-48810,26/01/2024,W-012230,Nepali,Helper / Labourer,Saudi Aramco,Oil & Gas,Eastern Province,Annual,12,45444,22152,13428,9864,21.71
MP-2025-51168,20/04/2024,W-012232,Bangladeshi,Pipe Fitter,ROSHN,Real Estate,Riyadh,Short-Term,6,32016,15786,4458,11772,36.77
MP-2025-58342,25/05/2024,W-012234,Sudanese,Industrial Painter,Saudi Aramco,Oil & Gas,Eastern Province,Annual,12,53700,27468,13320,12912,24.04
MP-2025-52469,2/8/2025,W-012237,Indian,Instrument Technician,Diriyah Company,Real Estate,Riyadh,Annual,12,101892,52104,9060,40728,39.97
MP-2024-40803,4/4/2024,W-012239,Saudi,Electrician,Saudi Electricity Co.,Power,Riyadh,Annual,12,130644,68652,4752,57240,43.81
MP-2024-81840,1/4/2024,W-012240,Bangladeshi,Welder,Marafiq,Utilities,Eastern Province,Short-Term,2,9174,4580,1336,3258,35.51
MP-2024-72743,13/02/2024,W-012241,Indian,Scaffolder,Saudi Aramco,Oil & Gas,Eastern Province,Multi-Year,24,136512,58848,27672,-10154,-7.44
MP-2025-13081,16/11/2025,W-012244,Nepali,Heavy Equipment Operator,Saudi Aramco,Oil & Gas,Eastern Province,Annual,12,81504,38112,7860,35532,43.6
MP-2025-76735,17/06/2024,W-012246,Indian,Heavy Equipment Operator,Marafiq,Utilities,Eastern Province,Annual,12,74304,39684,12396,22224,29.91
MP-2024-89641,19/09/2024,W-012248,Indian,Driver (Heavy),Saudi Electricity Co.,Power,Riyadh,Annual,12,64056,33984,16512,13560,21.17
MP-2025-36816,8/7/2024,W-012249,Indian,Helper / Labourer,Royal Commission Jubail,Industrial,Eastern Province,Multi-Year,24,93432,42144,20976,30312,32.44
MP-2024-87759,6/11/2024,W-012251,Bangladeshi,Rigger,SABIC,Petrochemical,Eastern Province,Multi-Year,24,111216,63528,15816,31872,28.66
